DATUM;
2019-11-29 00:00:00;
2019-11-29 00:15:00;
2019-11-29 00:30:00;
2019-11-29 00:45:00;
2019-11-29 01:00:00;0;0
2019-11-29 01:15:00;0;0
2019-11-29 01:30:00;0;0
2019-11-29 01:45:00;0;0
2019-11-29 02:00:00;0;0
2019-11-29 02:15:00;0;0
2019-11-29 02:30:00;0;0
2019-11-29 02:45:00;0;0
2019-11-29 03:00:00;0;0
2019-11-29 03:15:00;0;0
2019-11-29 03:30:00;0;0
2019-11-29 03:45:00;0;0
2019-11-29 04:00:00;0;0
2019-11-29 04:15:00;0;0
2019-11-29 04:30:00;0;0
2019-11-29 04:45:00;0;0
2019-11-29 05:00:00;0;0
2019-11-29 05:15:00;0;0
2019-11-29 05:30:00;1;1
2019-11-29 05:45:00;6;3
2019-11-29 06:00:00;6;4
2019-11-29 06:15:00;3;4
2019-11-29 06:30:00;5;0
2019-11-29 06:45:00;6;1
2019-11-29 07:00:00;10;1
2019-11-29 07:15:00;7;1
2019-11-29 07:30:00;10;0
2019-11-29 07:45:00;17;11
2019-11-29 08:00:00;13;18
2019-11-29 08:15:00;10;0
2019-11-29 08:30:00;13;0
2019-11-29 08:45:00;12;0
2019-11-29 09:00:00;9;0
2019-11-29 09:15:00;21;2
2019-11-29 09:30:00;20;2
2019-11-29 09:45:00;20;0
2019-11-29 10:00:00;16;2
2019-11-29 10:15:00;17;9
2019-11-29 10:30:00;17;3
2019-11-29 10:45:00;22;5
2019-11-29 11:00:00;17;1
2019-11-29 11:15:00;16;8
2019-11-29 11:30:00;17;5
2019-11-29 11:45:00;17;5
2019-11-29 12:00:00;20;0
2019-11-29 12:15:00;17;3
2019-11-29 12:30:00;18;9
2019-11-29 12:45:00;26;14
2019-11-29 13:00:00;21;5
2019-11-29 13:15:00;16;4
2019-11-29 13:30:00;19;3
2019-11-29 13:45:00;18;5
2019-11-29 14:00:00;24;3
2019-11-29 14:15:00;20;6
2019-11-29 14:30:00;17;8
2019-11-29 14:45:00;22;4
2019-11-29 15:00:00;25;5
2019-11-29 15:15:00;19;10
2019-11-29 15:30:00;17;7
2019-11-29 15:45:00;20;3
2019-11-29 16:00:00;22;2
2019-11-29 16:15:00;23;7
2019-11-29 16:30:00;27;8
2019-11-29 16:45:00;22;5
2019-11-29 17:00:00;25;1
2019-11-29 17:15:00;23;13
2019-11-29 17:30:00;22;4
2019-11-29 17:45:00;21;5
2019-11-29 18:00:00;19;6
2019-11-29 18:15:00;16;5
2019-11-29 18:30:00;23;5
2019-11-29 18:45:00;17;2
2019-11-29 19:00:00;16;12
2019-11-29 19:15:00;12;0
2019-11-29 19:30:00;18;5
2019-11-29 19:45:00;17;4
2019-11-29 20:00:00;16;2
2019-11-29 20:15:00;16;3
2019-11-29 20:30:00;14;7
2019-11-29 20:45:00;10;9
2019-11-29 21:00:00;9;0
2019-11-29 21:15:00;5;5
2019-11-29 21:30:00;4;1
2019-11-29 21:45:00;9;4
2019-11-29 22:00:00;5;4
2019-11-29 22:15:00;6;5
2019-11-29 22:30:00;7;4
2019-11-29 22:45:00;1;0
2019-11-29 23:00:00;0;0
2019-11-29 23:15:00;0;0
2019-11-29 23:30:00;1;0
2019-11-29 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
