DATUM;1(TAFGA);2(TAFBA)
2020-04-27 00:00:00;0;0
2020-04-27 00:15:00;0;0
2020-04-27 00:30:00;0;0
2020-04-27 00:45:00;0;0
2020-04-27 01:00:00;0;0
2020-04-27 01:15:00;0;0
2020-04-27 01:30:00;0;0
2020-04-27 01:45:00;0;0
2020-04-27 02:00:00;0;0
2020-04-27 02:15:00;0;0
2020-04-27 02:30:00;0;0
2020-04-27 02:45:00;0;0
2020-04-27 03:00:00;0;0
2020-04-27 03:15:00;0;0
2020-04-27 03:30:00;0;0
2020-04-27 03:45:00;0;0
2020-04-27 04:00:00;0;0
2020-04-27 04:15:00;0;0
2020-04-27 04:30:00;0;0
2020-04-27 04:45:00;0;0
2020-04-27 05:00:00;0;0
2020-04-27 05:15:00;0;0
2020-04-27 05:30:00;2;5
2020-04-27 05:45:00;4;0
2020-04-27 06:00:00;0;1
2020-04-27 06:15:00;2;1
2020-04-27 06:30:00;7;2
2020-04-27 06:45:00;6;4
2020-04-27 07:00:00;5;3
2020-04-27 07:15:00;6;2
2020-04-27 07:30:00;14;6
2020-04-27 07:45:00;10;1
2020-04-27 08:00:00;10;5
2020-04-27 08:15:00;11;3
2020-04-27 08:30:00;11;10
2020-04-27 08:45:00;10;0
2020-04-27 09:00:00;6;3
2020-04-27 09:15:00;9;1
2020-04-27 09:30:00;10;1
2020-04-27 09:45:00;12;2
2020-04-27 10:00:00;19;5
2020-04-27 10:15:00;15;3
2020-04-27 10:30:00;12;2
2020-04-27 10:45:00;20;2
2020-04-27 11:00:00;14;0
2020-04-27 11:15:00;21;2
2020-04-27 11:30:00;9;1
2020-04-27 11:45:00;13;1
2020-04-27 12:00:00;19;4
2020-04-27 12:15:00;13;3
2020-04-27 12:30:00;16;1
2020-04-27 12:45:00;10;1
2020-04-27 13:00:00;15;3
2020-04-27 13:15:00;14;14
2020-04-27 13:30:00;14;0
2020-04-27 13:45:00;8;1
2020-04-27 14:00:00;16;4
2020-04-27 14:15:00;17;1
2020-04-27 14:30:00;16;0
2020-04-27 14:45:00;16;5
2020-04-27 15:00:00;20;3
2020-04-27 15:15:00;13;4
2020-04-27 15:30:00;15;3
2020-04-27 15:45:00;20;5
2020-04-27 16:00:00;18;2
2020-04-27 16:15:00;16;5
2020-04-27 16:30:00;16;3
2020-04-27 16:45:00;18;8
2020-04-27 17:00:00;17;5
2020-04-27 17:15:00;19;1
2020-04-27 17:30:00;15;7
2020-04-27 17:45:00;16;4
2020-04-27 18:00:00;16;3
2020-04-27 18:15:00;17;5
2020-04-27 18:30:00;13;4
2020-04-27 18:45:00;12;2
2020-04-27 19:00:00;12;3
2020-04-27 19:15:00;4;2
2020-04-27 19:30:00;13;1
2020-04-27 19:45:00;9;1
2020-04-27 20:00:00;4;0
2020-04-27 20:15:00;3;0
2020-04-27 20:30:00;3;1
2020-04-27 20:45:00;3;0
2020-04-27 21:00:00;2;0
2020-04-27 21:15:00;6;2
2020-04-27 21:30:00;1;1
2020-04-27 21:45:00;3;6
2020-04-27 22:00:00;1;1
2020-04-27 22:15:00;2;5
2020-04-27 22:30:00;2;3
2020-04-27 22:45:00;0;0
2020-04-27 23:00:00;0;0
2020-04-27 23:15:00;0;0
2020-04-27 23:30:00;0;0
2020-04-27 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
