DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2019-11-30 00:00:00;2;1;0;22;19;10;9;10;17;4;2
2019-11-30 00:15:00;3;7;0;44;24;12;15;21;15;3;4
2019-11-30 00:30:00;1;2;1;21;15;2;5;19;21;4;5
2019-11-30 00:45:00;2;2;1;26;20;12;10;15;11;2;2
2019-11-30 01:00:00;0;4;1;19;8;3;4;13;11;1;1
2019-11-30 01:15:00;0;2;1;19;13;5;7;17;14;4;2
2019-11-30 01:30:00;3;3;1;26;16;12;3;13;10;3;1
2019-11-30 01:45:00;2;0;0;13;13;6;2;12;11;5;4
2019-11-30 02:00:00;0;0;0;8;11;9;4;6;9;4;4
2019-11-30 02:15:00;1;3;0;13;5;2;0;9;7;2;2
2019-11-30 02:30:00;0;1;2;9;10;3;2;2;6;1;1
2019-11-30 02:45:00;1;0;0;3;5;2;3;5;4;2;2
2019-11-30 03:00:00;1;4;0;8;9;7;0;7;8;2;2
2019-11-30 03:15:00;0;1;0;9;9;3;5;6;8;1;0
2019-11-30 03:30:00;2;2;0;5;7;2;1;3;5;3;3
2019-11-30 03:45:00;0;3;0;5;8;16;3;1;3;1;1
2019-11-30 04:00:00;0;2;0;8;5;8;1;3;5;2;2
2019-11-30 04:15:00;0;1;0;7;3;1;1;6;7;2;2
2019-11-30 04:30:00;1;1;0;5;4;2;1;2;3;1;1
2019-11-30 04:45:00;0;1;0;6;5;2;2;6;7;2;2
2019-11-30 05:00:00;1;2;0;8;5;2;1;6;13;1;2
2019-11-30 05:15:00;0;2;0;13;11;3;7;6;11;5;4
2019-11-30 05:30:00;2;1;0;14;14;6;5;19;20;7;5
2019-11-30 05:45:00;2;3;0;27;19;10;4;17;24;6;6
2019-11-30 06:00:00;0;2;1;34;24;11;2;18;12;2;1
2019-11-30 06:15:00;0;3;0;25;15;3;13;21;23;8;7
2019-11-30 06:30:00;2;5;1;22;9;3;6;18;13;7;6
2019-11-30 06:45:00;2;3;3;29;19;18;5;27;23;5;4
2019-11-30 07:00:00;2;10;2;20;15;4;4;17;20;4;4
2019-11-30 07:15:00;3;3;4;27;19;39;7;20;18;3;3
2019-11-30 07:30:00;1;6;0;31;16;55;13;27;40;6;3
2019-11-30 07:45:00;4;15;1;32;23;82;13;46;58;4;5
2019-11-30 08:00:00;4;12;2;35;18;156;16;41;58;11;7
2019-11-30 08:15:00;7;12;4;44;17;109;21;38;42;7;5
2019-11-30 08:30:00;4;13;1;42;26;22;18;40;48;6;3
2019-11-30 08:45:00;10;22;3;63;26;29;21;46;52;10;8
2019-11-30 09:00:00;4;23;1;55;37;13;25;44;51;7;4
2019-11-30 09:15:00;4;19;4;62;32;59;15;58;47;13;10
2019-11-30 09:30:00;1;18;2;66;39;12;18;66;57;7;4
2019-11-30 09:45:00;6;24;3;86;50;28;21;72;72;21;15
2019-11-30 10:00:00;12;27;5;87;56;25;25;59;69;10;7
2019-11-30 10:15:00;7;22;5;97;49;58;28;60;65;6;5
2019-11-30 10:30:00;5;20;2;89;50;13;40;65;78;16;16
2019-11-30 10:45:00;9;31;1;86;54;19;31;77;72;11;9
2019-11-30 11:00:00;11;28;4;77;54;5;23;88;79;17;16
2019-11-30 11:15:00;12;24;5;94;62;10;25;70;59;13;13
2019-11-30 11:30:00;10;28;1;119;69;16;23;73;74;9;8
2019-11-30 11:45:00;16;27;2;86;69;4;30;91;84;22;19
2019-11-30 12:00:00;14;34;4;100;91;27;42;84;71;13;11
2019-11-30 12:15:00;14;29;2;100;73;22;31;72;69;12;11
2019-11-30 12:30:00;13;25;3;99;73;24;38;73;81;12;12
2019-11-30 12:45:00;6;21;3;112;47;11;34;76;87;18;14
2019-11-30 13:00:00;16;22;2;105;67;21;40;73;79;16;16
2019-11-30 13:15:00;15;30;5;115;63;9;29;66;65;11;10
2019-11-30 13:30:00;11;38;3;88;63;19;36;75;81;18;16
2019-11-30 13:45:00;9;23;4;124;91;24;39;90;78;14;13
2019-11-30 14:00:00;11;23;4;125;80;19;44;69;65;13;12
2019-11-30 14:15:00;5;25;1;111;78;20;28;78;73;15;12
2019-11-30 14:30:00;9;29;5;111;80;19;33;74;77;18;15
2019-11-30 14:45:00;9;21;4;115;74;17;39;83;95;17;14
2019-11-30 15:00:00;10;27;2;103;75;17;37;82;72;13;11
2019-11-30 15:15:00;11;33;6;114;76;10;31;83;82;17;17
2019-11-30 15:30:00;14;25;4;104;80;20;33;93;79;13;12
2019-11-30 15:45:00;10;22;3;114;80;31;45;77;62;12;7
2019-11-30 16:00:00;18;27;5;103;73;12;33;73;67;11;10
2019-11-30 16:15:00;10;26;2;108;76;13;42;76;61;12;9
2019-11-30 16:30:00;18;22;2;108;87;16;35;60;77;11;9
2019-11-30 16:45:00;8;33;2;96;77;15;33;74;74;6;5
2019-11-30 17:00:00;10;22;6;115;69;11;44;75;67;15;13
2019-11-30 17:15:00;10;26;4;110;85;9;46;74;78;13;11
2019-11-30 17:30:00;18;33;3;116;92;18;50;77;86;19;17
2019-11-30 17:45:00;25;29;1;103;65;10;55;79;93;12;12
2019-11-30 18:00:00;12;18;4;89;66;10;39;73;73;10;7
2019-11-30 18:15:00;11;15;5;104;63;5;32;74;73;7;10
2019-11-30 18:30:00;9;26;3;102;65;13;38;60;64;2;3
2019-11-30 18:45:00;7;12;2;95;60;7;33;65;57;9;10
2019-11-30 19:00:00;5;27;10;71;53;11;32;58;58;11;8
2019-11-30 19:15:00;9;23;1;63;43;9;34;35;46;5;4
2019-11-30 19:30:00;9;20;3;66;62;17;28;50;54;15;13
2019-11-30 19:45:00;13;26;0;62;40;9;30;50;52;8;7
2019-11-30 20:00:00;17;18;3;75;55;17;21;62;57;7;7
2019-11-30 20:15:00;4;14;2;78;48;8;26;47;52;10;9
2019-11-30 20:30:00;7;10;2;56;48;10;40;45;42;5;3
2019-11-30 20:45:00;10;11;3;41;46;22;28;42;36;7;7
2019-11-30 21:00:00;3;9;0;50;41;50;19;30;29;6;4
2019-11-30 21:15:00;5;12;1;43;28;88;19;29;23;5;5
2019-11-30 21:30:00;5;6;0;59;27;6;17;30;31;6;4
2019-11-30 21:45:00;5;10;26;44;38;17;19;26;34;11;7
2019-11-30 22:00:00;5;9;0;46;43;10;20;39;19;3;3
2019-11-30 22:15:00;3;10;1;43;34;8;20;35;35;9;6
2019-11-30 22:30:00;2;14;0;42;39;46;12;31;28;8;6
